Time	Volt	Ampere			
4.33485	9.73917	0.148117			
4.3349	9.74417	0.148125			
4.33495	9.74833	0.1481			
4.335	9.7525	0.148092			
4.33505	9.76333	0.147842			
4.3351	9.745	0.147425			
4.33515	9.745	0.147667			
4.3352	9.7425	0.14795			
4.33525	9.75667	0.147983			
4.3353	9.75167	0.14795			
4.33535	9.74417	0.1482			
4.3354	9.7525	0.148317			
4.33545	9.7375	0.14815			
4.3355	9.755	0.148067			
4.33555	9.75417	0.1481			
4.3356	9.7525	0.1482			
4.33565	9.74167	0.148317			
4.3357	9.73583	0.148083			
4.33575	9.7625	0.147825			
4.3358	9.75417	0.148083			
4.33585	9.75417	0.148167			
4.3359	9.7375	0.148			
4.33595	9.74583	0.14795			
4.336	9.74667	0.148042			
4.33605	9.7475	0.147958			
4.3361	9.76333	0.147958			
4.33615	9.74417	0.147867			
4.3362	9.745	0.147942			
4.33625	9.745	0.148283			
4.3363	9.7525	0.1484			
4.33635	9.755	0.148133			
4.3364	9.74083	0.148175			
4.33645	9.74917	0.14845			
4.3365	9.74167	0.148392			
4.33655	9.7575	0.148208			
4.3366	9.75417	0.148025			
4.33665	9.75083	0.147967			
4.3367	9.75	0.147975			
4.33675	9.735	0.147967			
4.3368	9.7525	0.147758			
4.33685	9.75167	0.14785			
4.3369	9.75167	0.148175			
4.33695	9.74167	0.147983			
4.337	9.73833	0.147683			
4.33705	9.74667	0.147925			
4.3371	9.74333	0.148017			
4.33715	9.7525	0.147967			
4.3372	9.74167	0.147908			
4.33725	9.745	0.147917			
4.3373	9.74583	0.148117			
4.33735	9.75417	0.148325			
4.3374	9.75667	0.1483			
4.33745	9.73667	0.148192			
4.3375	9.74417	0.148308			
4.33755	9.74167	0.148233			
4.3376	9.7575	0.147825			
4.33765	9.755	0.147575			
4.3377	9.74917	0.147792			
4.33775	9.74417	0.1478			
4.3378	9.735	0.147792			
4.33785	9.7525	0.147733			
4.3379	9.745	0.147783			
4.33795	9.75417	0.1481			
4.338	9.745	0.148292			
4.33805	9.7425	0.148183			
4.3381	9.75	0.148275			
4.33815	9.745	0.148525			
4.3382	9.75583	0.148433			
4.33825	9.7425	0.148183			
4.3383	9.74333	0.148108			
4.33835	9.745	0.148208			
4.3384	9.75167	0.148083			
4.33845	9.76	0.147967			
4.3385	9.73583	0.14775			
4.33855	9.74917	0.14775			
4.3386	9.74333	0.147967			
